threshold,tpr,fpr,roc_auc
0.28500000000000003,0.3766540642722117,0.42399691358024694,0.4761087809808864
0.29,0.3738185255198488,0.4166666666666667,0.4761087809808864
0.295,0.3700378071833648,0.41010802469135804,0.4761087809808864
0.3,0.3667296786389414,0.4027777777777778,0.4761087809808864
0.305,0.3629489603024575,0.3993055555555556,0.4761087809808864
0.31,0.3572778827977316,0.3958333333333333,0.4761087809808864
0.315,0.3539697542533081,0.3888888888888889,0.4761087809808864
0.32,0.35255198487712663,0.3861882716049383,0.4761087809808864
0.325,0.3506616257088847,0.38040123456790126,0.4761087809808864
0.33,0.34735349716446123,0.3753858024691358,0.4761087809808864
0.335,0.34593572778827975,0.3707561728395062,0.4761087809808864
0.34,0.34168241965973534,0.3680555555555556,0.4761087809808864
0.34500000000000003,0.34026465028355385,0.36612654320987653,0.4761087809808864
0.35000000000000003,0.33648393194706994,0.3599537037037037,0.4761087809808864
0.355,0.3341209829867675,0.3549382716049383,0.4761087809808864
0.36,0.33081285444234404,0.35185185185185186,0.4761087809808864
0.365,0.32655954631379963,0.3479938271604938,0.4761087809808864
0.37,0.32325141776937616,0.3452932098765432,0.4761087809808864
0.375,0.32041587901701324,0.3414351851851852,0.4761087809808864
0.38,0.3166351606805293,0.33796296296296297,0.4761087809808864
0.385,0.31285444234404536,0.33603395061728397,0.4761087809808864
0.39,0.30954631379962194,0.3325617283950617,0.4761087809808864
0.395,0.305765595463138,0.3275462962962963,0.4761087809808864
0.4,0.30245746691871456,0.32523148148148145,0.4761087809808864
0.405,0.29725897920604916,0.32098765432098764,0.4761087809808864
0.41000000000000003,0.29300567107750475,0.31712962962962965,0.4761087809808864
0.41500000000000004,0.29017013232514177,0.3152006172839506,0.4761087809808864
0.42,0.28544423440453687,0.3132716049382716,0.4761087809808864
0.425,0.28119092627599246,0.30787037037037035,0.4761087809808864
0.43,0.277882797731569,0.30709876543209874,0.4761087809808864
0.435,0.27504725897920607,0.30478395061728397,0.4761087809808864
0.44,0.2722117202268431,0.3028549382716049,0.4761087809808864
0.445,0.2674858223062382,0.3001543209876543,0.4761087809808864
0.45,0.2651228733459357,0.29822530864197533,0.4761087809808864
0.455,0.2618147448015123,0.2966820987654321,0.4761087809808864
0.46,0.2575614366729679,0.2951388888888889,0.4761087809808864
0.465,0.251890359168242,0.2935956790123457,0.4761087809808864
0.47000000000000003,0.24716446124763705,0.2908950617283951,0.4761087809808864
0.47500000000000003,0.24291115311909262,0.2881944444444444,0.4761087809808864
0.48,0.2396030245746692,0.2854938271604938,0.4761087809808864
0.485,0.23724007561436672,0.28433641975308643,0.4761087809808864
0.49,0.23440453686200377,0.2808641975308642,0.4761087809808864
0.495,0.2339319470699433,0.279320987654321,0.4761087809808864
0.5,0.23251417769376181,0.2770061728395062,0.4761087809808864
0.505,0.22967863894139887,0.27584876543209874,0.4761087809808864
0.51,0.2273156899810964,0.27469135802469136,0.4761087809808864
0.515,0.22542533081285443,0.27237654320987653,0.4761087809808864
0.52,0.22353497164461247,0.27044753086419754,0.4761087809808864
0.525,0.22164461247637052,0.2665895061728395,0.4761087809808864
0.53,0.21786389413988658,0.26427469135802467,0.4761087809808864
0.535,0.21455576559546313,0.26157407407407407,0.4761087809808864
0.54,0.21313799621928167,0.25925925925925924,0.4761087809808864
0.545,0.20935727788279773,0.25733024691358025,0.4761087809808864
0.55,0.20841209829867674,0.25540123456790126,0.4761087809808864
0.555,0.2055765595463138,0.25308641975308643,0.4761087809808864
0.56,0.20368620037807184,0.2496141975308642,0.4761087809808864
0.5650000000000001,0.20321361058601134,0.24845679012345678,0.4761087809808864
0.5700000000000001,0.20179584120982988,0.24575617283950618,0.4761087809808864
0.5750000000000001,0.1999054820415879,0.24305555555555555,0.4761087809808864
0.58,0.19896030245746693,0.23919753086419754,0.4761087809808864
0.585,0.19659735349716445,0.2368827160493827,0.4761087809808864
0.59,0.195179584120983,0.2330246913580247,0.4761087809808864
0.595,0.19328922495274103,0.23070987654320987,0.4761087809808864
0.6,0.19187145557655955,0.22916666666666666,0.4761087809808864
0.605,0.1876181474480151,0.22530864197530864,0.4761087809808864
0.61,0.18620037807183365,0.2222222222222222,0.4761087809808864
0.615,0.18478260869565216,0.2195216049382716,0.4761087809808864
0.62,0.1824196597353497,0.21566358024691357,0.4761087809808864
0.625,0.18052930056710775,0.21103395061728394,0.4761087809808864
0.63,0.18005671077504726,0.20756172839506173,0.4761087809808864
0.635,0.1776937618147448,0.2056327160493827,0.4761087809808864
0.64,0.17580340264650285,0.2037037037037037,0.4761087809808864
0.645,0.17296786389413987,0.2013888888888889,0.4761087809808864
0.65,0.1715500945179584,0.19907407407407407,0.4761087809808864
0.655,0.17013232514177692,0.19560185185185186,0.4761087809808864
0.66,0.16824196597353497,0.19251543209876543,0.4761087809808864
